artista,biografia,Oyentes,N_Reproducciones,artistas_similares
Ghost Runner On Third,"A veteran of the local pop-punk scene, Tacoma’s own Ghost Runner On Third has been at it since 2002.

After releasing its EP “Speak Your Dreams” in 2005, the quintet toured the West Coast. The band’s latest incarnation features Adam Fuller (vocals and keys) and Preston Kristof (bass), in addition to three original members, Colin Willard (guitar and backup vocals), Mike Johnson (guitar) and Ryan Polson (drums).

They've also had former members such as: <a href=""https://www.last.fm/music/Ghost+Runner+On+Third"">Read more on Last.fm</a>",23224,336544,"[""We're Not Friends Anymore"", 'GunsLikeGirls', 'Her Words Kill', 'Dear Whoever', 'Unwanted Superheroes']"
The Meteors,"There are at least 3 bands called The Meteors.  One from the UK, one from the Netherlands and one from the US:

1) The Meteors is a psychobilly band from the United Kingdom, who are often credited with giving the genre its distinctive sound. Although the origins of psychobilly are debatable, the Meteors consider themselves the first and only psychobilly band. Fans of the band are known to use the slogan ""Only the Meteors are pure psychobilly"" (often shortened to just ""OTMAPP"") as a rallying cry. <a href=""https://www.last.fm/music/The+Meteors"">Read more on Last.fm</a>",179527,3932362,"['Demented Are Go!', 'Batmobile', 'Nekromantix', 'Mad Sin', 'Guana Batz']"
He Said She's Dead,"He Said, She's Dead was born out of high school friendships and late nights at the local mall, where six teenagers decided to turn their shared love of heavy music into something bigger.

The lineup: Zeke XIII, Matthew Critchfield, John Falchetta, Mike Jensen, Steven Salka, and Mitch Prosch, poured themselves into writing, rehearsing, and playing anywhere that would have them.

Their sound, a raw and emotional strain of post-hardcore, quickly earned attention in the Bay Area scene. <a href=""https://www.last.fm/music/He+Said+She%27s+Dead"">Read more on Last.fm</a>",5285,69889,"['Forever Wings Fold', 'Reclaim The Fallen', 'Oh Sweet Ransom', 'Secrets Kept In Suicide', 'Not For Now']"
Kili," <a href=""https://www.last.fm/music/Kili"">Read more on Last.fm</a>",29441,498244,"['Artie J', 'kwn', 'Pino', 'isaiah kaleo', 'kili, gabbinz']"
The Genesis Projection,"Sergio, after having passed few years playing with his pc, with various productions, meets, in a public forum on the net, Flavio in winter 2006, who for a while was playing with turntables and mixer and he's been listening all the electronic music in general. After a little time, the two eventually meet and immediately discover to have the same ideas the same way of thinking, the same goals and the same will to be someone. The Genesis Projection was now born. <a href=""https://www.last.fm/music/The+Genesis+Projection"">Read more on Last.fm</a>",3941,34476,"['Tomcat & Rudeboy', 'Raw Saints', 'Divato', 'Negative A & Counterfeit', 'Nexes']"
Teka B,"Teka B started up at september 2006.
Teka Brothers exists of 2 people: Kevin De Temmerman and Karel De Paepe.
Kevin produces the Teka-B songs, Karel is the active dj.

Their biggest succes is ""Weekend"" a project with Wex (real name: Wesley Jansen). <a href=""https://www.last.fm/music/Teka+B"">Read more on Last.fm</a>",1865,11835,"['Bestien', 'Davoodi', 'Junior Waxx', 'Ronald-V', 'Demoniak']"
Jiyagi," <a href=""https://www.last.fm/music/Jiyagi"">Read more on Last.fm</a>",41942,646509,"['Remzcore', 'Sefa', 'Dr. Peacock', 'Dimitri K', 'ZaveyT']"
Molchat Doma,"Молчат Дома (English translation: The Houses Are Silent)  is a Belarusian post-punk band with lyrics sung in Russian. Currently a trio with Egor Shkutko on vocal duties, Roman Komogortsev on guitar, synths, and drum machine, and Pavel Kozlov on bass and synths. The trio have been dubbed “the Belarusian New Order of our generation”, but that’s not quite right – they have far more in common with the gloomy nihilism of that band’s forebearer <a href=""https://www.last.fm/music/Molchat+Doma"">Read more on Last.fm</a>",1049512,32287335,"['Nürnberg', 'Ploho', 'Vollny', 'The End of Electronics', 'Chernikovskaya Hata']"
Strange Bones,"Three piece from Bradford, UK. <a href=""https://www.last.fm/music/Strange+Bones"">Read more on Last.fm</a>",34218,322472,"['Bobby Wolfgang', 'New Language', 'Joy Room', '45ACIDBABIES', 'The St Pierre Snake Invasion']"
Modern Life Is War,"Modern Life is War is an American hardcore band originally from Marshalltown, Iowa. Formed in 2002, they are known for their incendiary live shows and unique take on the melodic hardcore and hardcore sound, usually avoiding standard songs structures and almost entirely abandoning the use of breakdowns. During Modern Life is War's six-year original run, the band released three full-length albums and one self-titled 7"" EP. Despite a growing profile on the underground hardcore circuit <a href=""https://www.last.fm/music/Modern+Life+Is+War"">Read more on Last.fm</a>",161191,6640083,"['Defeater', 'Killing The Dream', 'Shai Hulud', 'Verse', 'The Suicide File']"
